typ_desc,incident_date,count
ALARMS: AUDIBLE/INSIDE,2024-11-03T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-11-04T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-11-05T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-11-06T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-11-07T00:00:00.000,6
ALARMS: AUDIBLE/INSIDE,2024-11-09T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-11-10T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-11-11T00:00:00.000,3
ALARMS: AUDIBLE/INSIDE,2024-11-12T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-11-13T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-11-14T00:00:00.000,4
ALARMS: AUDIBLE/INSIDE,2024-11-15T00:00:00.000,4
ALARMS: AUDIBLE/INSIDE,2024-11-17T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-11-18T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-11-19T00:00:00.000,5
ALARMS: AUDIBLE/INSIDE,2024-11-20T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-11-21T00:00:00.000,3
ALARMS: AUDIBLE/INSIDE,2024-11-22T00:00:00.000,3
ALARMS: AUDIBLE/INSIDE,2024-11-23T00:00:00.000,7
ALARMS: AUDIBLE/INSIDE,2024-11-24T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-11-26T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-11-27T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-11-28T00:00:00.000,5
ALARMS: AUDIBLE/INSIDE,2024-11-30T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-12-01T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-12-02T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-12-03T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-12-04T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-12-05T00:00:00.000,4
ALARMS: AUDIBLE/INSIDE,2024-12-06T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-12-07T00:00:00.000,4
ALARMS: AUDIBLE/INSIDE,2024-12-08T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-12-09T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-12-10T00:00:00.000,3
ALARMS: AUDIBLE/INSIDE,2024-12-11T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-12-12T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-12-13T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-12-14T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-12-15T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-12-16T00:00:00.000,3
ALARMS: AUDIBLE/INSIDE,2024-12-18T00:00:00.000,3
ALARMS: AUDIBLE/INSIDE,2024-12-19T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-12-20T00:00:00.000,3
ALARMS: AUDIBLE/INSIDE,2024-12-22T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-12-23T00:00:00.000,5
ALARMS: AUDIBLE/INSIDE,2024-12-24T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-12-25T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-12-26T00:00:00.000,4
ALARMS: AUDIBLE/INSIDE,2024-12-27T00:00:00.000,5
ALARMS: AUDIBLE/INSIDE,2024-12-28T00:00:00.000,4
ALARMS: AUDIBLE/INSIDE,2024-12-29T00:00:00.000,2
ALARMS: AUDIBLE/INSIDE,2024-12-30T00:00:00.000,1
ALARMS: AUDIBLE/INSIDE,2024-12-31T00:00:00.000,2
ALARMS: AUDIBLE/OUTSIDE,2024-01-01T00:00:00.000,4
ALARMS: AUDIBLE/OUTSIDE,2024-01-02T00:00:00.000,6
ALARMS: AUDIBLE/OUTSIDE,2024-01-03T00:00:00.000,5
ALARMS: AUDIBLE/OUTSIDE,2024-01-04T00:00:00.000,4
ALARMS: AUDIBLE/OUTSIDE,2024-01-05T00:00:00.000,12
ALARMS: AUDIBLE/OUTSIDE,2024-01-06T00:00:00.000,5
ALARMS: AUDIBLE/OUTSIDE,2024-01-07T00:00:00.000,22
ALARMS: AUDIBLE/OUTSIDE,2024-01-08T00:00:00.000,16
ALARMS: AUDIBLE/OUTSIDE,2024-01-09T00:00:00.000,13
ALARMS: AUDIBLE/OUTSIDE,2024-01-10T00:00:00.000,15
ALARMS: AUDIBLE/OUTSIDE,2024-01-11T00:00:00.000,14
ALARMS: AUDIBLE/OUTSIDE,2024-01-12T00:00:00.000,8
ALARMS: AUDIBLE/OUTSIDE,2024-01-13T00:00:00.000,13
ALARMS: AUDIBLE/OUTSIDE,2024-01-14T00:00:00.000,16
ALARMS: AUDIBLE/OUTSIDE,2024-01-15T00:00:00.000,11
ALARMS: AUDIBLE/OUTSIDE,2024-01-16T00:00:00.000,12
ALARMS: AUDIBLE/OUTSIDE,2024-01-17T00:00:00.000,11
ALARMS: AUDIBLE/OUTSIDE,2024-01-18T00:00:00.000,8
ALARMS: AUDIBLE/OUTSIDE,2024-01-19T00:00:00.000,8
ALARMS: AUDIBLE/OUTSIDE,2024-01-20T00:00:00.000,8
ALARMS: AUDIBLE/OUTSIDE,2024-01-21T00:00:00.000,12
ALARMS: AUDIBLE/OUTSIDE,2024-01-22T00:00:00.000,10
ALARMS: AUDIBLE/OUTSIDE,2024-01-23T00:00:00.000,6
ALARMS: AUDIBLE/OUTSIDE,2024-01-24T00:00:00.000,8
ALARMS: AUDIBLE/OUTSIDE,2024-01-25T00:00:00.000,21
